/**************************************************************************
 *** Layout File                                                        ***
 ***                                                                    ***
 *** This file is designed to provide the necessary information so      ***
 *** that NCES survey response data may be used in other statistical    ***
 *** software packages. This file provides variable names, locations,   ***
 *** and short descriptions for all selected variables. Additionally,   ***
 *** for categorical variables, this file also contains the response    ***
 *** codes and value label descriptions.                                ***
 ***                                                                    ***
 *** Full sample weights, replicate weights, and identification         ***
 *** numbers are added automatically to the list of variables selected  ***
 *** by the EDAT and are included here.                                 ***
 *************************************************************************/

/* ASCII Dataset File Name */
NELS_88_00_BYF4STU

/* Total Record Length */
11541

/* Variable Names, Locations, and Descriptions */
STU_ID    1-7           Student ID
   6 = "SIX OR MORE"
   96 = "{MULTIPLE RESPNSE}"
   97 = "{REFUSAL}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1S94
   1 = "NO BROTHERS/SISTERS"
   2 = "NONE ARE IN H.S."
   3 = "NONE LEFT SCHOOL"
   4 = "ONE LEFT SCHOOL"
   5 = "TWO OR MORE"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S95
   1 = "YES"
   2 = "NO"
   3 = "DOES NOT APPLY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S96
   1 = "LESS THAN 1 HOUR"
   2 = "MORE THAN 1, < 3 HRS"
   3 = "MORE THAN 3,< 5 HRS"
   4 = "MORE THAN 5, < 7 HRS"
   5 = "MORE THAN 7,< 10 HRS"
   6 = "MORE THAN 10 HRS DAY"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1S97
   0 = "NONE"
   1 = "1-2 DAYS"
   2 = "3-6 DAYS"
   3 = "7-9 DAYS"
   4 = "10 DAYS OR MORE"
   5 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98A
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98B
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98C
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98D
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98E
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98F
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98G
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98H
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S98I
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99A
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99B
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99C
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99D
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99E
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99F
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99G
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99H
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99I
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99J
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99K
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99L
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99M
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99N
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99O
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99P
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99Q
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99R
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S99S
   1 = "APPLIES"
   2 = "DOES NOT APPLY"
   7 = "{REFUSAL}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S9A
   0 = "NEVER"
   1 = "ONCE OR TWICE"
   2 = "MORE THAN TWICE"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S9B
   0 = "NEVER"
   1 = "ONCE OR TWICE"
   2 = "MORE THAN TWICE"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S9C
   0 = "NEVER"
   1 = "ONCE OR TWICE"
   2 = "MORE THAN TWICE"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1S9D
   0 = "NEVER"
   1 = "ONCE OR TWICE"
   2 = "MORE THAN TWICE"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1SCENRL
   1 = "1 - 399"
   2 = "400 - 599"
   3 = "600 - 799"
   4 = "800 - 999"
   5 = "1000 - 1199"
   6 = "1200 - 1599"
   7 = "1600 - 1999"
   8 = "2000 - 2499"
   9 = "2500 +"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1SCH_ID
   99999 = "{Legitimate skip/not in wave}"
F1SEQFLG
   0 = "ENROLLED IN 10TH GRD"
   1 = "ENROLLED IN OTHR GRD"
   2 = "NOT APPLICABLE"
F1SES
   99.998 = "{Missing}"
   99.999 = "{Legitimate skip/not in wave}"
F1SESQ
   1 = "QUARTILE 1 LOW"
   2 = "QUARTILE 2"
   3 = "QUARTILE 3"
   4 = "QUARTILE 4 HIGH"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1SEX
   1 = "MALE"
   2 = "FEMALE"
   9 = "{Legitimate skip/not in wave}"
F1SGSPAN
   1 = "P,K,1,2,3,4,5-12,12+"
   2 = "6,7,8-9,10,11,12,12+"
   3 = "9-10,11,12 OR 12+"
   4 = "10-11,12 OR 12+"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1SMPFLG
   0 = "EIGHTH GRADE COHORT"
   1 = "FRESHENED STUDENT"
   2 = "BYI - ELIG FOR F1"
F1SRVMTH
   0 = "SELF-ADMINISTERED"
   1 = "TELE- MODIFIED DATA"
   2 = "TELE- PROXY (ABBRV)"
   3 = "TELE- MEMBR (ABBRV)"
   4 = "IN-PRS PROXY (ABBRV)"
   5 = "IN-PRS MEMBR (ABBRV)"
   6 = "F1 NON-PARTICIPANT"
   99 = "{Legitimate skip/not in wave}"
F1STAT
   0 = "PARTICIPATED"
   1 = "OTHER NON-RESPONDENT"
   2 = "UNLOCATABLE"
   3 = "REFUSED"
   4 = "INELIGIBLE"
   5 = "OUT OF COUNTRY"
   99 = "{Legitimate skip/not in wave}"
F1SUB_A
   E = "ENGLISH"
   H = "HISTORY"
   M = "MATH"
   S = "SCIENCE"
   9 = "{Legitimate skip/not in wave}"
F1SUB_B
   E = "ENGLISH"
   H = "HISTORY"
   M = "MATH"
   S = "SCIENCE"
   9 = "{Legitimate skip/not in wave}"
F1T1_10
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_11
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_12
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_13
   1 = "TOO DIFFICULT"
   2 = "NOT CHALLENGING"
   3 = "APPROPRIATE LEVEL"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_14
   1 = "NOT AVAILABLE"
   2 = "YES"
   3 = "NO"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_15
   1 = "NEVER"
   2 = "RARELY"
   3 = "SOME OF THE TIME"
   4 = "MOST OF THE TIME"
   5 = "ALL OF THE TIME"
   6 = "DON^T KNOW"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T1_16
   1 = "NEVER"
   2 = "RARELY"
   3 = "SOME OF THE TIME"
   4 = "MOST OF THE TIME"
   5 = "ALL OF THE TIME"
   6 = "DON^T KNOW"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T1_17
   1 = "NEVER"
   2 = "RARELY"
   3 = "SOME OF THE TIME"
   4 = "MOST OF THE TIME"
   5 = "ALL OF THE TIME"
   6 = "DON^T KNOW"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T1_18
   1 = "NEVER"
   2 = "RARELY"
   3 = "SOME OF THE TIME"
   4 = "MOST OF THE TIME"
   5 = "ALL OF THE TIME"
   6 = "DON^T KNOW"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T1_19
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_2
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_20
   1 = "NEVER"
   2 = "RARELY"
   3 = "SOME OF THE TIME"
   4 = "MOST OF THE TIME"
   5 = "ALL OF THE TIME"
   6 = "DON^T KNOW"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T1_21A
   1 = "YES"
   2 = "NO"
   3 = "NOT NECESSARY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_21B
   1 = "YES"
   2 = "NO"
   3 = "NOT NECESSARY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_21C
   1 = "YES"
   2 = "NO"
   3 = "NOT NECESSARY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_21D
   1 = "YES"
   2 = "NO"
   3 = "NOT NECESSARY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_22
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_3
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_4
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_5
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_6A
   1 = "YES"
   2 = "NO"
   3 = "NOT NECESSARY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_6B
   1 = "YES"
   2 = "NO"
   3 = "NOT NECESSARY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_6C
   1 = "YES"
   2 = "NO"
   3 = "NOT NECESSARY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_6D
   1 = "YES"
   2 = "NO"
   3 = "NOT NECESSARY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_7
   1 = "NOT INVOLVED"
   2 = "SOMEWHAT INVOLVED"
   3 = "VERY INVOLVED"
   4 = "DON^T KNOW"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_8
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T1_9
   1 = "YES"
   2 = "NO"
   3 = "DON^T KNOW"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_10A
   1 = "ALL OF THE TIME"
   2 = "MOST OF THE TIME"
   3 = "SOME OF THE TIME"
   4 = "NEVER"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_10B
   1 = "ALL OF THE TIME"
   2 = "MOST OF THE TIME"
   3 = "SOME OF THE TIME"
   4 = "NEVER"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_10C
   1 = "ALL OF THE TIME"
   2 = "MOST OF THE TIME"
   3 = "SOME OF THE TIME"
   4 = "NEVER"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_11
   1 = "NOT APPLICABLE"
   2 = "NONE"
   3 = "1-2 ASSIGNMENTS"
   4 = "3-4 ASSIGNMENTS"
   5 = "5-6 ASSIGNMENTS"
   6 = "7-8 ASSIGNMENTS"
   7 = "9-10 ASSIGNMENTS"
   8 = "11 OR MORE ASSIGNMTS"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_12A
   1 = "NOT USED"
   2 = "RARELY USED"
   3 = "SECONDARY RESOURCE"
   4 = "PRIMARY RESOURCE"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_12B
   1 = "NOT USED"
   2 = "RARELY USED"
   3 = "SECONDARY RESOURCE"
   4 = "PRIMARY RESOURCE"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_12C
   1 = "NOT USED"
   2 = "RARELY USED"
   3 = "SECONDARY RESOURCE"
   4 = "PRIMARY RESOURCE"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_12D
   1 = "NOT USED"
   2 = "RARELY USED"
   3 = "SECONDARY RESOURCE"
   4 = "PRIMARY RESOURCE"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_13A
   1 = "YES"
   2 = "NO"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_13B
   1 = "YES"
   2 = "NO"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_13C
   1 = "YES"
   2 = "NO"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_13D
   1 = "YES"
   2 = "NO"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_13E
   1 = "YES"
   2 = "NO"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_13F
   1 = "YES"
   2 = "NO"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_13G
   1 = "YES"
   2 = "NO"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_14
   1 = "VERY WELL PREPARED"
   2 = "WELL PREPARED"
   3 = "ADEQUATELY PREPARED"
   4 = "SOMEWHAT UNPREPARED"
   5 = "VERY UNPREPARED"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_15A
   0 = "{zero}"
   996 = "{MULTIPLE RESPNSE}"
   998 = "{MISSING}"
   999 = "{Legitimate skip/not in wave}"
F1T2_15B
   0 = "{zero}"
   998 = "{MISSING}"
   999 = "{Legitimate skip/not in wave}"
F1T2_16A
   1 = "NONE"
   2 = "<10"
   3 = "10-24"
   4 = "25-49"
   5 = "50-74"
   6 = "75-100"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_16B
   1 = "NONE"
   2 = "<10"
   3 = "10-24"
   4 = "25-49"
   5 = "50-74"
   6 = "75-100"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_16C
   1 = "NONE"
   2 = "<10"
   3 = "10-24"
   4 = "25-49"
   5 = "50-74"
   6 = "75-100"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_16D
   1 = "NONE"
   2 = "<10"
   3 = "10-24"
   4 = "25-49"
   5 = "50-74"
   6 = "75-100"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_16E
   1 = "NONE"
   2 = "<10"
   3 = "10-24"
   4 = "25-49"
   5 = "50-74"
   6 = "75-100"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_16F
   1 = "NONE"
   2 = "<10"
   3 = "10-24"
   4 = "25-49"
   5 = "50-74"
   6 = "75-100"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_16G
   1 = "NONE"
   2 = "<10"
   3 = "10-24"
   4 = "25-49"
   5 = "50-74"
   6 = "75-100"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_17A
   1 = "NO CONTROL"
   2 = "02"
   3 = "03"
   4 = "04"
   5 = "05"
   6 = "COMPLETE CONTROL"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_17B
   1 = "NO CONTROL"
   2 = "02"
   3 = "03"
   4 = "04"
   5 = "05"
   6 = "COMPLETE CONTROL"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_17C
   1 = "NO CONTROL"
   2 = "02"
   3 = "03"
   4 = "04"
   5 = "05"
   6 = "COMPLETE CONTROL"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_17D
   1 = "NO CONTROL"
   2 = "02"
   3 = "03"
   4 = "04"
   5 = "05"
   6 = "COMPLETE CONTROL"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_17E
   1 = "NO CONTROL"
   2 = "02"
   3 = "03"
   4 = "04"
   5 = "05"
   6 = "COMPLETE CONTROL"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_18A
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_18B
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_18C
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_18D
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_18E
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_18F
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_18G
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_18H
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_18I
   0 = "NEVER"
   1 = "1-3 TIMES-SEMESTER"
   2 = "1-3 TIMES-MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES-WEEK"
   5 = "ALMOST EVERY LESSON"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_3
   1 = "ACADEMIC"
   2 = "ADVANCED OR HONORS"
   3 = "GENERAL"
   4 = "VOC-TECH-BUSINESS"
   5 = "OTHER"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_4
   1 = "HIGHER LEVELS"
   2 = "AVERAGE LEVELS"
   3 = "LOWER LEVELS"
   4 = "WIDELY DIFFERING"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_5
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_6
   0 = "{zero}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_7
   1 = "DEPT. CHAIR ASSIGNED"
   2 = "OTHER ADMINISTRATOR"
   3 = "I DECIDED TO TEACH"
   4 = "IT WAS MY TURN"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2_8
   0 = "{zero}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_9H
   0 = "{zero}"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2_9M
   0 = "{zero}"
   96 = "{MULTIPLE RESPNSE}"
   98 = "{MISSING}"
   99 = "{Legitimate skip/not in wave}"
F1T2E19A
   1 = "VERY RARELY"
   2 = "1-2 TIMES A MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES PER WEEK"
   5 = "EVERY DAY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2E19B
   1 = "VERY RARELY"
   2 = "1-2 TIMES A MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES PER WEEK"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2E19C
   1 = "VERY RARELY"
   2 = "1-2 TIMES A MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES PER WEEK"
   5 = "EVERY DAY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2E19D
   1 = "VERY RARELY"
   2 = "1-2 TIMES A MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES PER WEEK"
   5 = "EVERY DAY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2E19E
   1 = "VERY RARELY"
   2 = "1-2 TIMES A MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES PER WEEK"
   5 = "EVERY DAY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2E19F
   1 = "VERY RARELY"
   2 = "1-2 TIMES A MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES PER WEEK"
   5 = "EVERY DAY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2E19G
   1 = "VERY RARELY"
   2 = "1-2 TIMES A MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES PER WEEK"
   5 = "EVERY DAY"
   8 = "{MISSING}"
   9 = "{Legitimate skip/not in wave}"
F1T2E19H
   1 = "VERY RARELY"
   2 = "1-2 TIMES A MONTH"
   3 = "ONCE A WEEK"
   4 = "2-3 TIMES PER WEEK"
   5 = "EVERY DAY"
   6 = "{MULTIPLE RESPNSE}"
   8 = "{MISSING}"
